RUN	performanceRunners.CDArticleSimulation	cdarticlesimulation	1683391300977	 	3.7.4
USER	Create An Article	START	1683391301096
REQUEST		POST /api/users/login	1683391303245	1683391303642	OK	 
REQUEST		POST /api/users/login	1683391303720	1683391303895	OK	 
USER	Create An Article	START	1683391305090
USER	Create An Article	START	1683391306085
USER	Create An Article	START	1683391307076
USER	Create An Article	START	1683391308081
USER	Create An Article	START	1683391309075
REQUEST		POST /api/articles	1683391304106	1683391304228	OK	 
USER	Create An Article	END	1683391309250
USER	Create An Article	START	1683391310084
REQUEST		POST /api/articles	1683391305141	1683391305259	OK	 
USER	Create An Article	END	1683391310288
USER	Create An Article	START	1683391311078
REQUEST		POST /api/articles	1683391306129	1683391306228	OK	 
USER	Create An Article	END	1683391311249
USER	Create An Article	START	1683391312088
REQUEST		POST /api/articles	1683391307209	1683391307356	OK	 
USER	Create An Article	END	1683391312366
USER	Create An Article	START	1683391313085
REQUEST		POST /api/articles	1683391308164	1683391308292	OK	 
USER	Create An Article	END	1683391313302
USER	Create An Article	START	1683391314092
REQUEST		POST /api/articles	1683391309137	1683391309233	OK	 
USER	Create An Article	END	1683391314247
USER	Create An Article	START	1683391315083
REQUEST		POST /api/articles	1683391310161	1683391310265	OK	 
USER	Create An Article	END	1683391315284
USER	Create An Article	START	1683391315578
USER	Create An Article	START	1683391316076
REQUEST		POST /api/articles	1683391311143	1683391311247	OK	 
USER	Create An Article	END	1683391316261
USER	Create An Article	START	1683391316584
USER	Create An Article	START	1683391317080
REQUEST		POST /api/articles	1683391312170	1683391312266	OK	 
USER	Create An Article	END	1683391317295
USER	Create An Article	START	1683391317573
USER	Create An Article	START	1683391318088
REQUEST		POST /api/articles	1683391313165	1683391313288	OK	 
USER	Create An Article	END	1683391318305
USER	Create An Article	START	1683391318583
USER	Create An Article	START	1683391319084
REQUEST		POST /api/articles	1683391314109	1683391314216	OK	 
USER	Create An Article	END	1683391319222
USER	Create An Article	START	1683391319579
USER	Create An Article	START	1683391320090
REQUEST		POST /api/articles	1683391315097	1683391315213	OK	 
USER	Create An Article	END	1683391320229
USER	Create An Article	START	1683391320587
REQUEST		POST /api/articles	1683391315593	1683391315705	OK	 
USER	Create An Article	END	1683391320714
USER	Create An Article	START	1683391321085
REQUEST		POST /api/articles	1683391316107	1683391316220	OK	 
USER	Create An Article	END	1683391321238
USER	Create An Article	START	1683391321578
REQUEST		POST /api/articles	1683391316613	1683391316716	OK	 
USER	Create An Article	END	1683391321734
USER	Create An Article	START	1683391322090
REQUEST		POST /api/articles	1683391317102	1683391317214	OK	 
USER	Create An Article	END	1683391322228
USER	Create An Article	START	1683391322585
REQUEST		POST /api/articles	1683391317591	1683391317681	OK	 
USER	Create An Article	END	1683391322695
USER	Create An Article	START	1683391323078
REQUEST		POST /api/articles	1683391318113	1683391318226	OK	 
USER	Create An Article	END	1683391323235
USER	Create An Article	START	1683391323574
REQUEST		POST /api/articles	1683391318602	1683391318689	OK	 
USER	Create An Article	END	1683391323712
USER	Create An Article	START	1683391324085
REQUEST		POST /api/articles	1683391319147	1683391319238	OK	 
USER	Create An Article	END	1683391324254
USER	Create An Article	START	1683391324577
REQUEST		POST /api/articles	1683391319632	1683391319739	OK	 
USER	Create An Article	END	1683391324762
